Pin Number,Pin ID,Custom Name,Function,Mode, Direction,Latch,Pull Up,Pull Down,Drive Strength
1,PA00,,Available,,,,,,NORMAL
2,PA01,,Available,,,,,,NORMAL
3,PA02,,Available,,,,,,NORMAL
4,PA03,,Available,,,,,,NORMAL
5,PB04,,Available,,,,,,NORMAL
6,PB05,,Available,,,,,,NORMAL
9,PB06,,Available,,,,,,NORMAL
10,PB07,,Available,,,,,,NORMAL
11,PB08,IA,ADC0_AIN2,Analog,High Impedance,n/a,,,NORMAL
12,PB09,IB,ADC1_AIN5,Analog,High Impedance,n/a,,,NORMAL
13,PA04,,Available,,,,,,NORMAL
14,PA05,PWM1H2,TCC0_WO1,Digital,High Impedance,n/a,No,No,NORMAL
15,PA06,,Available,,,,,,NORMAL
16,PA07,,Available,,,,,,NORMAL
17,PA08,,Available,,,,,,NORMAL
18,PA09,VBUS,ADC0_AIN9,Analog,High Impedance,n/a,,,NORMAL
19,PA10,PWM1H3,TCC0_WO2,Digital,High Impedance,n/a,No,No,NORMAL
20,PA11,,Available,,,,,,NORMAL
23,PB10,,Available,,,,,,NORMAL
24,PB11,,Available,,,,,,NORMAL
25,PB12,LED_01,GPIO,Digital,Out,Low,,,NORMAL
26,PB13,LED_02,GPIO,Digital,Out,Low,,,NORMAL
27,PB14,,Available,,,,,,NORMAL
28,PB15,,Available,,,,,,NORMAL
29,PA12,,Available,,,,,,NORMAL
30,PA13,,Available,,,,,,NORMAL
31,PA14,PWM1L1,TCC0_WO4,Digital,High Impedance,n/a,No,No,NORMAL
32,PA15,PWM1L2,TCC0_WO5,Digital,High Impedance,n/a,No,No,NORMAL
35,PA16,PWM1L3,TCC0_WO6,Digital,High Impedance,n/a,No,No,NORMAL
36,PA17,,Available,,,,,,NORMAL
37,PA18,,Available,,,,,,NORMAL
38,PA19,,Available,,,,,,NORMAL
39,PB16,BUTTON_01,GPIO,Digital,In,n/a,No,No,NORMAL
40,PB17,,Available,,,,,,NORMAL
41,PA20,,Available,,,,,,NORMAL
42,PA21,,Available,,,,,,NORMAL
43,PA22,X2CSCOPE_TX,SERCOM3_PAD0,Digital,High Impedance,n/a,No,No,NORMAL
44,PA23,X2CSCOPE_RX,SERCOM3_PAD1,Digital,High Impedance,n/a,No,No,NORMAL
45,PA24,,Available,,,,,,NORMAL
46,PA25,,Available,,,,,,NORMAL
49,PB22,,Available,,,,,,NORMAL
50,PB23,,Available,,,,,,NORMAL
51,PA27,,Available,,,,,,NORMAL
53,PA28,,Available,,,,,,NORMAL
57,PA30,,Available,,,,,,NORMAL
58,PA31,,Available,,,,,,NORMAL
59,PB30,PWM1H1,TCC0_WO0,Digital,High Impedance,n/a,No,No,NORMAL
60,PB31,BUTTON_02,GPIO,Digital,In,n/a,No,No,NORMAL
61,PB00,POT,ADC1_AIN0,Analog,High Impedance,n/a,,,NORMAL
62,PB01,,Available,,,,,,NORMAL
63,PB02,,Available,,,,,,NORMAL
64,PB03,,Available,,,,,,NORMAL
